gene1,Systematic gene name
asn2,YGR124W
asp1,YDR321W
asp3-2,YLR157C
asp3-3,YLR158C
asp3-4,YLR160C
asr1,YPR093C
ast1,YBL069W
ast2,YER101C
atc1,YDR184C
ate1,YGL017W
atf1,YOR377W
atf2,YGR177C
atg1,YGL180W
atg10,YLL042C
atg11,YPR049C
atg12,YBR217W
atg13,YPR185W
atg14,YBR128C
atg15,YCR068W
atg16,YMR159C
atg17,YLR423C
atg18,YFR021W
atg19,YOL082W
atg2,YNL242W
atg20,YDL113C
atg21,YPL100W
atg22,YCL038C
atg23,YLR431C
atg26,YLR189C
atg27,YJL178C
atg29,YPL166W
atg3,YNR007C
atg31,YDR022C
atg32,YIL146C
atg33,YLR356W
atg34,YOL083W
atg36,YJL185C
atg38,YLR211C
atg39,YLR312C
atg4,YNL223W
atg40,YOR152C
atg41,YPL250C
atg5,YPL149W
atg7,YHR171W
atg8,YBL078C
atg9,YDL149W
ath1,YPR026W
atm1-5002,YMR301C
ato2,YNR002C
ato3,YDR384C
atp10,YLR393W
atp11,YNL315C
atp12,YJL180C
atp14,YLR295C
atp18,YML081C-A
atp19,YOL077W-A
atp2,YJR121W
atp20,YPR020W
atp22,YDR350C
atp23,YNR020C
atp25,YMR098C
atp3,YBR039W
atp4,YPL078C
atp5,YDR298C
atp7,YKL016C
atr1,YML116W
ats1,YAL020C
atx1,YNL259C
atx2,YOR079C
aua1,YFL010W-A
aus1,YOR011W
avl9,YLR114C
avo1-5005,YOL078W
avo2,YMR068W
avt1,YJR001W
avt3,YKL146W
avt4,YNL101W
avt5,YBL089W
avt6,YER119C
avt7,YIL088C
axl1,YPR122W
axl2,YIL140W
ayr1,YIL124W
ayt1,YLL063C
azf1,YOR113W
azr1,YGR224W
bag7,YOR134W
bap2,YBR068C
bap3,YDR046C
bar1,YIL015W
bas1,YKR099W
bat1,YHR208W
bat2,YJR148W
bbc1,YJL020C
bcd1-5001,YHR040W
bch1,YMR237W
bch2,YKR027W
bck1,YJL095W
bck2,YER167W
bcp1-ts,YDR361C
bcs1,YDR375C
bcy1,YIL033C
bdf1,YLR399C
bdf2,YDL070W
bdh1,YAL060W
bdh2,YAL061W
bdp1-5005,YNL039W
bds1,YOL164W
bem1,YBR200W
bem2,YER155C
bem3,YPL115C
bem4,YPL161C
ber1,YLR412W
bet1-1,YIL004C
bet2-1,YPR176C
bet2-1-supp1,YPR176C
bet3-5001,YKR068C
bet4-5001,YJL031C
bet4-5002,YJL031C
bet4-5007,YJL031C
bet5-5001,YML077W
bfa1,YJR053W
bfr2-5001,YDR299W
bgl2,YGR282C
big1-5001,YHR101C
bik1,YCL029C
bil1,YOR304C-A
bim1,YER016W
bio2,YGR286C
bio3,YNR058W
bio4,YNR057C
bio5,YNR056C
bit2,YBR270C
bit61,YJL058C
bli1,YKL061W
blm10,YFL007W
bls1,YLR408C
bmh1,YER177W
bmh2,YDR099W
bms1-1-supp1,YPL217C
bms1-1-supp2,YPL217C
bmt2,YBR141C
bmt5,YIL096C
bmt6,YLR063W
bna1,YJR025C
bna2,YJR078W
bna3,YJL060W
bna4,YBL098W
bna5,YLR231C
bna6,YFR047C
bna7,YDR428C
bni1,YNL271C
bni4,YNL233W
bni5,YNL166C
bnr1,YIL159W
bns1,YGR230W
boi1,YBL085W
boi2,YER114C
bop2,YLR267W
bop3,YNL042W
bor1,YNL275W
bos1-1,YLR078C
bph1,YCR032W
bpt1,YLL015W
bre1,YDL074C
bre2,YLR015W
bre4,YDL231C
bre5,YNR051C
brl1-2221,YHR036W
brl1-3231,YHR036W
brl1-c371r,YHR036W
brl1-c371s,YHR036W
brl1-k405i,YHR036W
brn1-16,YBL097W
brn1-9,YBL097W
bro1,YPL084W
brp1,YGL007W
brr1,YPR057W
brr2-5005,YER172C
brr2-5018,YER172C
brr2-5019-supp1,YER172C
brr2-5023-supp1,YER172C
brr6-5001,YGL247W
brx1-5001,YOL077C
bsc1,YDL037C
bsc2,YDR275W
bsc4,YNL269W
bsc5,YNR069C
bsc6,YOL137W
bsd2,YBR290W
bsp1,YPR171W
bst1,YFL025C
btn2,YGR142W
bts1,YPL069C
btt1,YDR252W
bub1,YGR188C
bub1-supp1,YGR188C
bub2,YMR055C
bub3,YOR026W
bud13,YGL174W
bud14,YAR014C
bud16,YEL029C
bud17,YNR027W
bud19,YJL188C
bud2,YKL092C
bud20,YLR074C
bud21,YOR078W
bud22,YMR014W
bud25-supp1,YER014C-A
bud27,YFL023W
bud27-supp1,YFL023W
bud28-supp1,YLR062C
bud3,YCL014W
bud31,YCR063W
bud32,YGR262C
bud4,YJR092W
bud6,YLR319C
bud7,YOR299W
bud8,YLR353W
bud9,YGR041W
bug1,YDL099W
bul1,YMR275C
bul2,YML111W
bur2,YLR226W
bur6-5005,YER159C
bxi1,YNL305C
bye1,YKL005C
bzz1,YHR114W
cab1-5001,YDR531W
cab2-5001,YIL083C
cab4-5001,YGR277C
cab5-1,YDR196C
cab5-5001,YDR196C
cac2,YML102W
cad1,YDR423C
caf120,YNL278W
caf130,YGR134W
caf16,YFL028C
caf20,YOR276W
caf4,YKR036C
caf40,YNL288W
caj1,YER048C
cak1-23,YFL029C
cam1,YPL048W
cap1,YKL007W
cap2,YIL034C
car1,YPL111W
car2,YLR438W
cat2,YML042W
cat5,YOR125C
cat8,YMR280C
cax4,YGR036C
cbc2,YPL178W
cbf1,YJR060W
cbf2-1,YGR140W
cbf2-2,YGR140W
cbf2-42,YGR140W
cbf5-5001,YLR175W
cbp1,YJL209W
cbp2,YHL038C
cbp4,YGR174C
cbp6-supp1,YBR120C
cbr1,YIL043C
cbs1,YDL069C
cbs2,YDR197W
cbt1,YKL208W
cca1-5001,YER168C
ccc1,YLR220W
ccc2,YDR270W
cce1,YKL011C
cch1,YGR217W
ccl1-ts4,YPR025C
ccp1,YKR066C
ccr4,YAL021C
cct2-5001,YIL142W
cct2-5002,YIL142W
cct3-5001,YJL014W
cct4-1,YDL143W
cct5-5001,YJR064W
cct6-18,YDR188W
cct6-18-supp1,YDR188W
cct7-5001,YJL111W
cct8-5001,YJL008C
cct8-5002,YJL008C
ccw12,YLR110C
ccw14,YLR390W-A
ccz1,YBR131W
cda1,YLR307W
cda2,YLR308W
cdc1-1,YDR182W
cdc1-2,YDR182W
cdc1-4,YDR182W
cdc1-6,YDR182W
cdc10-1,YCR002C
cdc10-2,YCR002C
cdc10-4,YCR002C
cdc11-1,YJR076C
cdc11-2,YJR076C
cdc11-3,YJR076C
cdc11-4,YJR076C
cdc11-5,YJR076C
cdc12-1,YHR107C
cdc12-td,YHR107C
cdc123-4,YLR215C
cdc13-1,YDL220C
cdc14-1,YFR028C
cdc14-2,YFR028C
cdc14-8,YFR028C
cdc15-1,YAR019C
cdc15-2,YAR019C
cdc16-1,YKL022C
cdc19-1,YAL038W
cdc2-1,YDL102W
cdc2-2,YDL102W
cdc2-7,YDL102W
cdc20-1,YGL116W
cdc20-2,YGL116W
cdc20-3,YGL116W
cdc21-1,YOR074C
cdc21-ts,YOR074C
cdc23-1,YHR166C
cdc23-4,YHR166C
cdc24-1,YAL041W
cdc24-11,YAL041W
cdc24-2,YAL041W
cdc24-3,YAL041W
cdc24-4,YAL041W
cdc24-5,YAL041W
cdc24-h,YAL041W
cdc25-1-supp1,YLR310C
cdc25-2-supp1,YLR310C
cdc25-2-supp2,YLR310C
cdc26,YFR036W
cdc26-1,YFR036W
cdc27-1,YBL084C
cdc27-2,YBL084C
cdc28-1,YBR160W
cdc28-13,YBR160W
cdc28-4,YBR160W
cdc28-td,YBR160W
cdc3-1,YLR314C
cdc3-3,YLR314C
cdc34-1,YDR054C
cdc34-2,YDR054C
cdc35-1,YJL005W
cdc36-16,YDL165W
cdc37-1,YDR168W
cdc37-ts,YDR168W
cdc39-1,YCR093W
cdc4-1,YFL009W
cdc4-2,YFL009W
cdc4-3,YFL009W
cdc40,YDR364C
cdc40-ts,YDR364C
cdc42-1,YLR229C
cdc43-2,YGL155W
cdc45-27,YLR103C
cdc46-1,YLR274W
cdc47-ts,YBR202W
cdc48-1,YDL126C
cdc48-2,YDL126C
cdc48-3,YDL126C
cdc48-9,YDL126C
cdc50,YCR094W
cdc53-1,YDL132W
cdc55-supp1,YGL190C
cdc6-1,YJL194W
cdc60-ts,YPL160W
cdc7-1,YDL017W
cdc7-4,YDL017W
cdc73,YLR418C
cdc8-1,YJR057W
cdc8-2,YJR057W
cdc9-1-supp1,YDL164C
cdc9-1-supp2,YDL164C
cdc9-5002,YDL164C
cdd1,YLR245C
cdh1,YGL003C
cds1-5001,YBR029C
cef1-13,YMR213W
ceg1-3,YGL130W
ceg1-34,YGL130W
ceg1-c354,YGL130W
ceg1-ts,YGL130W
cem1,YER061C
cep3-1,YMR168C
cep3-2,YMR168C
cet1-1,YPL228W
cet1-1-supp1,YPL228W
cet1-15,YPL228W
cet1-2,YPL228W
cex1,YOR112W
cfd1-5001,YIL003W
cfd1-5002,YIL003W
cfd1-5003,YIL003W
cft1-5003,YDR301W
cft2-1,YLR115W
cft2-5001,YLR115W
cgi121,YML036W
cgr1-supp1,YGL029W
cha1,YCL064C
cha4,YLR098C
chd1,YER164W
chk1,YBR274W
chl1,YPL008W
chl4,YDR254W
chm7,YJL049W
cho2,YGR157W
chs2-5006,YBR038W
chs3,YBR023C
chs5,YLR330W
chs6,YJL099W
chs7,YHR142W
chz1,YER030W
cia1-5007,YDR267C
cia2-5001,YHR122W
cik1,YMR198W
cin1,YOR349W
cin2,YPL241C
cin4,YMR138W
cin5,YOR028C
cin8,YEL061C
cir1,YGR207C
cir2,YOR356W
cis1,YLR346C
cis3,YJL158C
cit1,YNR001C
cit2,YCR005C
cit3,YPR001W
cka1,YIL035C
cka2,YOR061W
ckb1,YGL019W
ckb2,YOR039W
cki1,YLR133W
cks1-35,YBR135W
cks1-38,YBR135W
cla4,YNL298W
clb1,YGR108W
clb2,YPR119W
clb3,YDL155W
clb4,YLR210W
clb5,YPR120C
clb6,YGR109C
cld1,YGR110W
clf1-1,YLR117C
clg1,YGL215W
cln1,YMR199W
cln2,YPL256C
cln3,YAL040C
clp1-5001,YOR250C
clu1,YMR012W
cmc1,YKL137W
cmc2,YBL059C-A
cmc4,YMR194C-B
cmd1-1,YBR109C
cmd1-3,YBR109C
cmd1-8,YBR109C
cmg1,YLR271W
cmk1,YFR014C
cmk2,YOL016C
cmp2,YML057W
cmr1,YDL156W
cmr2,YOR093C
cmr3,YPR013C
cms1,YLR003C
cna1,YLR433C
cnb1,YKL190W
cne1,YAL058W
cnl1,YDR357C
cnn1,YFR046C
coa1,YIL157C
coa2,YPL189C-A
coa3,YJL062W-A
coa4,YLR218C
coa6,YMR244C-A
cof1-5,YLL050C
cof1-8,YLL050C
cof1-8-supp1,YLL050C
cog2-1,YGR120C
cog3-1,YER157W
cog3-2,YER157W
cog4-5001,YPR105C
cog4-5002,YPR105C
cog4-5004,YPR105C
cog4-5005,YPR105C
cog5,YNL051W
cog6,YNL041C
cog7,YGL005C
cog8,YML071C
com2,YER130C
cop1-1,YDL145C
coq1,YBR003W
coq10,YOL008W
coq11,YLR290C
coq2,YNR041C
coq4,YDR204W
coq5,YML110C
coq6,YGR255C
coq8,YGL119W
coq9,YLR201C
cos1,YNL336W
cos10,YNR075W
cos111,YBR203W
cos12,YGL263W
cos5,YJR161C
cos6,YGR295C
cos7,YDL248W
cos8,YHL048W
cot1,YOR316C
cox10,YPL172C
cox11,YPL132W
cox12,YLR038C
cox13,YGL191W
cox14,YML129C
cox15,YER141W
cox16,YJL003W
cox17,YLL009C
cox18,YGR062C
cox19,YLL018C-A
cox20,YDR231C
cox23,YHR116W
cox4,YGL187C
cox5a,YNL052W
cox5b,YIL111W
cox6,YHR051W
cox7,YMR256C
cox8,YLR395C
cox9,YDL067C
coy1,YKL179C
cpd1,YGR247W
cpr1,YDR155C
cpr2,YHR057C
cpr3,YML078W
cpr4,YCR069W
cpr5,YDR304C
cpr6,YLR216C
cpr7,YJR032W
cpr8,YNR028W
cps1,YJL172W
cpt1,YNL130C
crc1,YOR100C
crd1,YDL142C
crf1,YDR223W
crg1,YHR209W
crh1,YGR189C
crm1-1,YGR218W
crn1,YLR429W
crp1,YHR146W
crr1,YLR213C
crs5,YOR031W
crt10,YOL063C
crz1,YNL027W
csc1,YLR241W
cse1-5002,YGL238W
cse2,YNR010W
cse4-1,YKL049C
csf1,YLR087C
csg2,YBR036C
csh1,YBR161W
csi1,YMR025W
csi2,YOL007C
csl4-5001,YNL232W
csm1,YCR086W
csm2,YIL132C
csm3,YMR048W
csm4,YPL200W
csn9,YDR179C
csr1,YLR380W
csr2,YPR030W
cst26,YBR042C
cst6,YIL036W
cst9,YLR394W
cta1,YDR256C
ctf13-30,YMR094W
ctf18,YMR078C
ctf19,YPL018W
ctf3,YLR381W
ctf4,YPR135W
ctf8,YHR191C
ctf8-162,YHR191C
ctf8-9,YHR191C
cth1,YDR151C
cti6,YPL181W
ctk1-supp1,YKL139W
ctk3,YML112W
ctl1,YMR180C
ctm1,YHR109W
cto1,YCR015C
ctp1,YBR291C
ctr1,YPR124W
ctr2,YHR175W
ctr3,YLR411W
ctr86-5001,YCR054C
ctr9,YOL145C
cts1,YLR286C
cts2,YDR371W
ctt1,YGR088W
cue1,YMR264W
cue2,YKL090W
cue3,YGL110C
cue4,YML101C
cue5,YOR042W
cul3,YGR003W
cup1-2,YHR055C
cup2,YGL166W
cup9,YPL177C
cur1,YPR158W
cus1-3,YMR240C
cus2,YNL286W
cuz1,YNL155W
cwc15,YDR163W
cwc2-1,YDL209C
cwc21,YDR482C
cwc22-5001,YGR278W
cwc24-5001,YLR323C
cwc24-5004,YLR323C
cwc24-5018,YLR323C
cwc24-5020,YLR323C
cwc25-5011,YNL245C
cwc27,YPL064C
cwh41,YGL027C
cwh43,YCR017C
cwp1,YKL096W
cwp2,YKL096W-A
cyb2,YML054C
cyb5,YNL111C
cyc1,YJR048W
cyc2,YOR037W
cyc3,YAL039C
cyc8,YBR112C
cyk3,YDL117W
cym1,YDR430C
cys3,YAL012W
cys4,YGR155W
cyt1,YOR065W
cyt2,YKL087C
dad1-5005,YDR016C
dad2-9,YKR083C
dak1,YML070W
dak2,YFL053W
dal1,YIR027C
dal2,YIR029W
dal3,YIR032C
dal4,YIR028W
dal5,YJR152W
dal7,YIR031C
dal80,YKR034W
dal81,YIR023W
dal82,YNL314W
dam1-1,YGR113W
dam1-11,YGR113W
dam1-19,YGR113W
dam1-5,YGR113W
dam1-9,YGR113W
dan1,YJR150C
dan4,YJR151C
dap1,YPL170W
dap2,YHR028C
das1,YJL149W
das2,YDR020C
dat1,YML113W
dbf2,YGR092W
dbf2-1,YGR092W
dbf2-2,YGR092W
dbf2-3,YGR092W
dbf20,YPR111W
dbf4-1,YDR052C
dbf4-2,YDR052C
dbf4-3,YDR052C
dbf4-4,YDR052C
dbf4-ts,YDR052C
dbp1,YPL119C
dbp10-5001,YDL031W
dbp10-5004,YDL031W
dbp10-5006,YDL031W
dbp10-5008,YDL031W
dbp2-5002,YNL112W
dbp2-5003,YNL112W
dbp2-5004,YNL112W
dbp2-5005,YNL112W
dbp3,YGL078C
dbp5-1,YOR046C
dbp6-5001,YNR038W
dbp7,YKR024C
dbp9-5001,YLR276C
dbr1,YKL149C
dcc1,YCL016C
dcd1,YHR144C
dcg1,YIR030C
dci1,YOR180C
dck1,YLR422W
dck1-supp1,YLR422W
dcn1,YLR128W
dcp1-5007,YOL149W
dcp2-7,YNL118C
dcp2-7d,YNL118C
dcr2,YLR361C
dcs1,YLR270W
dcs2,YOR173W
dcv1,YFR012W
dcw1,YKL046C
ddc1,YPL194W
ddi1,YER143W
ddi2,YFL061W
ddp1,YOR163W
ddr2,YOL052C-A
ddr48,YMR173W
ded1-199,YOR204W
ded1-95,YOR204W
ded1-f144c,YOR204W
ded81-5001,YHR019C
def1,YKL054C
deg1,YFL001W
dep1,YAL013W
der1,YBR201W
det1,YDR051C
dfg10,YIL049W
dfg16,YOR030W
dfg5,YMR238W
dfm1,YDR411C
dfr1-td,YOR236W
dfr1-td-supp1,YOR236W
dga1,YOR245C
dgk1,YOR311C
dgr1,YNL130C-A
dgr2,YKL121W
dhr2-5001,YKL078W
dia1,YMR316W
dia2,YOR080W
dia3,YDL024C
dia4,YHR011W
dib1-5001,YPR082C
dic1,YLR348C
did2,YKR035W-A
did4,YKL002W
die2,YGR227W
dif1,YLR437C
dig1,YPL049C
dig2,YDR480W
dim1-2,YPL266W
din7,YDR263C
dip2-5001,YLR129W
dip5,YPL265W
dis3-1,YOL021C
dit1,YDR403W
dit2,YDR402C
djp1,YIR004W
dld1,YDL174C
dld2,YDL178W
dld3,YEL071W
dls1,YJL065C
dlt1,YMR126C
dma2,YNL116W
dmc1,YER179W
dml1-5001,YMR211W
dna2-2,YHR164C
dnf1,YER166W
dnf2,YDR093W
dnf3,YMR162C
dnl4,YOR005C
dnm1,YLL001W
doa1,YKL213C
doa4,YDR069C
doa4-supp1,YDR069C
doc1-supp1,YGL240W
dog1,YHR044C
dog2,YHR043C
dom34,YNL001W
don1,YDR273W
dop1-1,YDR141C
dos2,YDR068W
dot1,YDR440W
dot5,YIL010W
dot6,YER088C
dpb11-1-supp1,YJL090C
dpb11-1-supp2,YJL090C
dpb3,YBR278W
dpb4,YDR121W
dph1,YIL103W
dph2,YKL191W
dph5,YLR172C
dph6,YLR143W
dpl1,YDR294C
dpm1-6,YPR183W
dpm1-6-supp1,YPR183W
dpp1,YDR284C
drn1,YGR093W
drs1-5001,YLL008W
drs1-5002,YLL008W
drs2-supp1,YAL026C
dsc2,YOL073C
dsc3,YOR223W
dsd1,YGL196W
dse1,YER124C
dse2,YHR143W
dse3,YOR264W
dse4,YNR067C
dsf1,YEL070W
dsf2,YBR007C
dsk2,YMR276W
dsn1-7,YIR010W
dsn1-8,YIR010W
dss1,YMR287C
dss4,YPR017C
dst1,YGL043W
dtd1,YDL219W
dtr1,YBR180W
duf1,YOL087C
dug1,YFR044C
dug2,YBR281C
dug3,YNL191W
dun1,YDL101C
duo1-2,YGL061C
"dur1,2",YBR208C
dur3,YHL016C
dus1,YML080W
dus3,YLR401C
dus4,YLR405W
dut1-5001,YBR252W
dxo1,YDR370C
dyn1,YKR054C
dyn2,YDR424C
dyn3,YMR299C
dys1-5002,YHR068W
eaf3,YPR023C
eaf5,YEL018W
eaf6,YJR082C
eaf7,YNL136W
eap1,YKL204W
ear1,YMR171C
ebp2-1,YKL172W
ebs1,YDR206W
eci1,YLR284C
ecl1,YGR146C
ecm1,YAL059W
ecm10,YEL030W
ecm11,YDR446W
ecm12,YHR021W-A
ecm13,YBL043W
ecm14,YHR132C
ecm15,YBL001C
ecm18,YDR125C
ecm19,YLR390W
ecm2,YBR065C
ecm21,YBL101C
ecm22,YLR228C
ecm23,YPL021W
ecm25,YJL201W
ecm27,YJR106W
ecm29,YHL030W
ecm3,YOR092W
ecm30,YLR436C
ecm31,YBR176W
ecm32,YER176W
ecm33,YBR078W
ecm34,YHL043W
ecm38,YLR299W
ecm4,YKR076W
ecm5,YMR176W
ecm7,YLR443W
ecm8,YBR076W
eco1-1,YFR027W
ect1,YGR007W
edc1,YGL222C
edc2,YER035W
edc3,YEL015W
ede1,YBL047C
eds1,YBR033W
eeb1,YPL095C
efm1,YHL039W
efm2,YBR271W
efm3,YJR129C
efm4,YIL064W
efm5,YGR001C
efm6,YNL024C
eft1,YOR133W
eft2,YDR385W
egd1,YPL037C
egd2,YHR193C
egh1,YIR007W
ego2,YCR075W-A
ego4,YNR034W-A
egt2,YNL327W
ehd3,YDR036C
eht1,YBR177C
eis1,YMR031C
eki1,YDR147W
ela1,YNL230C
elc1,YPL046C
elf1,YKL160W
elg1,YOR144C
elm1,YKL048C
elo1,YJL196C
elo2,YCR034W
elo3,YLR372W
elp2,YGR200C
elp3,YPL086C
elp4,YPL101W
elp6,YMR312W
emc1,YCL045C
emc10,YDR056C
emc2,YJR088C
emc3,YKL207W
emc4,YGL231C
emc5,YIL027C
emc6,YLL014W
emg1-1,YLR186W
emg1-1-supp1,YLR186W
emg1-5001,YLR186W
emi1,YDR512C
emi2,YDR516C
emp24,YGL200C
emp46,YLR080W
emp47,YFL048C
emp65,YER140W
emp70,YLR083C
ena1,YDR040C
ena5,YDR038C
enb1,YOL158C
end3-supp1,YNL084C
eno1,YGR254W
eno2,YHR174W
enp1-1,YBR247C
enp2-5001,YGR145W
ent1,YDL161W
ent2,YLR206W
ent3,YJR125C
ent4,YLL038C
ent5,YDR153C
env10,YLR065C
env11,YGR071C
env7,YPL236C
env9,YOR246C
eos1-supp1,YNL080C
eos1-supp2,YNL080C
epo1,YMR124W
eps1,YIL005W
ept1,YHR123W
erb1-5001,YMR049C
erc1,YHR032W
erd1,YDR414C
erd2-5001,YBL040C
erf2,YLR246W
erg10-1,YPL028W
erg11-td,YHR007C
erg12-5001,YMR208W
erg13-5001,YML126C
erg2,YMR202W
erg24-supp1,YNL280C
erg25-5001,YGR060W
erg26-1,YGL001C
erg27-5001,YLR100W
erg3,YLR056W
erg4,YGL012W
erg5,YMR015C
erg6,YML008C
erg7-5001,YHR072W
erg7-5003,YHR072W
erg7-5005,YHR072W
erg8-1,YMR220W
erg9-5001,YHR190W
eri1,YPL096C-A
erj5,YFR041C
ero1-1,YML130C
erp1,YAR002C-A
erp2,YAL007C
erp3,YDL018C
erp4,YOR016C
